centroid_day,start_day,end_day,all,public,mturk
2017-08-16 05:10:06+00:00,2017-07-02 05:10:06+00:00,2017-09-30 05:10:06+00:00,624,0,624
2017-11-14 05:10:06+00:00,2017-09-30 05:10:06+00:00,2017-12-29 05:10:06+00:00,635,0,635
2018-02-12 05:10:06+00:00,2017-12-29 05:10:06+00:00,2018-03-29 05:10:06+00:00,811,17,794
2018-05-13 05:10:06+00:00,2018-03-29 05:10:06+00:00,2018-06-27 05:10:06+00:00,664,42,622
2018-08-11 05:10:06+00:00,2018-06-27 05:10:06+00:00,2018-09-25 05:10:06+00:00,760,8,752
2018-11-09 05:10:06+00:00,2018-09-25 05:10:06+00:00,2018-12-24 05:10:06+00:00,969,18,951
2019-02-07 05:10:06+00:00,2018-12-24 05:10:06+00:00,2019-03-24 05:10:06+00:00,1346,26,1320
2019-05-08 05:10:06+00:00,2019-03-24 05:10:06+00:00,2019-06-22 05:10:06+00:00,1439,36,1403
2019-08-06 05:10:06+00:00,2019-06-22 05:10:06+00:00,2019-09-20 05:10:06+00:00,797,4,793
2019-11-04 05:10:06+00:00,2019-09-20 05:10:06+00:00,2019-12-19 05:10:06+00:00,1020,17,1003
2020-02-02 05:10:06+00:00,2019-12-19 05:10:06+00:00,2020-03-18 05:10:06+00:00,569,6,563
2020-05-02 05:10:06+00:00,2020-03-18 05:10:06+00:00,2020-06-16 05:10:06+00:00,832,8,824
2020-07-31 05:10:06+00:00,2020-06-16 05:10:06+00:00,2020-09-14 05:10:06+00:00,995,10,985
